ಪಂದೊಗಲ್,ಹಂದೊಗಲ್
ಪೊದಪು,ಹೊದಪು
ಪಾಳ್,ಹಾಳ್
ಪಾತೆ,ಹಾತೆ
ಪುಳು,ಹುಳು
ಪಿಂಚೂಣಿ,ಹಿಂಚೂಣಿ
ಪದಿನಯ್ದು,ಹದಿನಯ್ದು
ಪಾಳ್ಮನೆ,ಹಾಳ್ಮನೆ
ಪೊರಮಾರು,ಹೊರಮಾರು
ಪುಡಿ,ಹುಡಿ
ಪಸುಳೆತನ,ಹಸುಳೆತನ
ಪೊಸಂತಿಲ್,ಹೊಸಂತಿಲ್
ಪೊಯ್,ಹೊಯ್
ಪಡಹು,ಹಡಹು
ಪಡಲಗೆ,ಹಡಲಗೆ
ಪೊಂಗು,ಹೊಂಗು
ಪಸುಗೆಗೊಳ್,ಹಸುಗೆಗೊಳ್
ಪೂಗೊಂಚಲು,ಹೂಗೊಂಚಲು
ಪಡಿಯದೆ,ಹಡಿಯದೆ
ಪೋಳು,ಹೋಳು
ಪಡಿಮುಖ,ಹಡಿಮುಖ
ಪಿಡಿತ,ಹಿಡಿತ
ಪಚ್ಚನೆ,ಹಚ್ಚನೆ
ಪೊಯ್ಸು,ಹೊಯ್ಸು
ಪಚ್ಚೆ,ಹಚ್ಚೆ
ಪುಟ್ಟಿಗೆ,ಹುಟ್ಟಿಗೆ
ಪೆದೆ,ಹೆದೆ
ಪಿಂಗಡೆ,ಹಿಂಗಡೆ
ಪೆರ್ಗಡೆ,ಹೆರ್ಗಡೆ
ಪೀಲಿ,ಹೀಲಿ
ಪುಡಿಗೂಡಿಸು,ಹುಡಿಗೂಡಿಸು
ಪೆರೆಯುರ್ಚು,ಹೆರೆಯುರ್ಚು
ಪೆಡೆಮಣಿ,ಹೆಡೆಮಣಿ
ಪೊಮ್ಬೆಟ್ಟ,ಹೊಮ್ಬೆಟ್ಟ
ಪೆಸರಿಸು,ಹೆಸರಿಸು
ಪೂವಾಡಗಿತ್ತಿ,ಹೂವಾಡಗಿತ್ತಿ
ಪಲವಂಗ,ಹಲವಂಗ
ಪಂತ,ಹಂತ
ಪೊದರ್,ಹೊದರ್
ಪಾಲ್ಗುಡಿ,ಹಾಲ್ಗುಡಿ
ಪರವಸ,ಹರವಸ
ಪುಬ್ಬೆ,ಹುಬ್ಬೆ
ಪಗೆಗೊಳ್,ಹಗೆಗೊಳ್
ಪಣಿದ,ಹಣಿದ
ಪೊದಕೆ,ಹೊದಕೆ
ಪೆಂಗೊಲೆ,ಹೆಂಗೊಲೆ
ಪೂಗಾರ,ಹೂಗಾರ
ಪೊಸಗನ್ನಡ,ಹೊಸಗನ್ನಡ
ಪೊತ್ತಗೆ,ಹೊತ್ತಗೆ
ಪಲ್ಕಿರಿ,ಹಲ್ಕಿರಿ
ಪಂಬಲಿಸು,ಹಂಬಲಿಸು
ಪುಯ್ಯಲಿಡು,ಹುಯ್ಯಲಿಡು
ಪೆಸರ್ಗೊಳ್,ಹೆಸರ್ಗೊಳ್
ಪದಿಮೂರ್,ಹದಿಮೂರ್
ಪಾರೆ,ಹಾರೆ
ಪಿಣಿ,ಹಿಣಿ
ಪೊಡಸೆಂಡು,ಹೊಡಸೆಂಡು
ಪುಟ್ಟು,ಹುಟ್ಟು
ಪರೆ,ಹರೆ
ಪಡವಳ್ತಿ,ಹಡವಳ್ತಿ
ಪಾಲು,ಹಾಲು
ಪೆಚ್ಚುಗೆ,ಹೆಚ್ಚುಗೆ
ಪಾಲುಬಾಯಿ,ಹಾಲುಬಾಯಿ
ಪೊಱವಾಱ್,ಹೊಱವಾಱ್
ಪುಳಿಸೆ,ಹುಳಿಸೆ
ಪಂಗಿಗ,ಹಂಗಿಗ
ಪಸಿ,ಹಸಿ
ಪೊಲಬು,ಹೊಲಬು
ಪಕ್ಕಿ,ಹಕ್ಕಿ
ಪಿಂದಲೆ,ಹಿಂದಲೆ
ಪುಸಿಯಾಡು,ಹುಸಿಯಾಡು
ಪೊರಬಿಗ,ಹೊರಬಿಗ
ಪೊತ್ತಿಗೆ,ಹೊತ್ತಿಗೆ
ಪೊರಳ್,ಹೊರಳ್
ಪೊಳಕು,ಹೊಳಕು
ಪದುಳ,ಹದುಳ
ಪಾಳಿ,ಹಾಳಿ
ಪಗವು,ಹಗವು
ಪೊರಸೂಸು,ಹೊರಸೂಸು
ಪಲ,ಹಲ
ಪೆಡೆವಣಿ,ಹೆಡೆವಣಿ
ಪಚ್ಚಿಸು,ಹಚ್ಚಿಸು
ಪೆರಸಾರು,ಹೆರಸಾರು
ಪಾಲೆ,ಹಾಲೆ
ಪುಲಿಯುಗುರು,ಹುಲಿಯುಗುರು
ಪೊನ್ನವಸ್ತ್ರ,ಹೊನ್ನವಸ್ತ್ರ
ಪಿಟ್ಟುಗುಟ್ಟು,ಹಿಟ್ಟುಗುಟ್ಟು
ಪಳುವು,ಹಳುವು
ಪೆಗಲು,ಹೆಗಲು
ಪೂವು,ಹೂವು
ಪೊರಳು,ಹೊರಳು
ಪರವಿ,ಹರವಿ
ಪಾಲುಗಡಲು,ಹಾಲುಗಡಲು
ಪೊಳೆ,ಹೊಳೆ
ಪಾಯ್ಕು,ಹಾಯ್ಕು
ಪೊಸ,ಹೊಸ
ಪಿಂಡಿ,ಹಿಂಡಿ
ಪೆಂಗೂಸು,ಹೆಂಗೂಸು
ಪೊಳಲು,ಹೊಳಲು
ಪಿಡಿಕಿಸು,ಹಿಡಿಕಿಸು
ಪೊಸಂತಿಲು,ಹೊಸಂತಿಲು
ಪುದುಗು,ಹುದುಗು
ಪಕ್ಕು,ಹಕ್ಕು
ಪಚ್ಚಗೆ,ಹಚ್ಚಗೆ
ಪಱುಗಲ್,ಹಱುಗಲ್
ಪೊಳ್ಳುನುಡಿ,ಹೊಳ್ಳುನುಡಿ
ಪೊಲೆ,ಹೊಲೆ
ಪಾವಡಿಗ,ಹಾವಡಿಗ
ಪೆಣ್ಣಾಳ್,ಹೆಣ್ಣಾಳ್
ಪೊರಪಚ್ಚ,ಹೊರಪಚ್ಚ
ಪಿನ್,ಹಿನ್
ಪತ್ತಿರ,ಹತ್ತಿರ
ಪುಬ್ಬು,ಹುಬ್ಬು
ಪಿರಿದು,ಹಿರಿದು
ಪಣ್ಣಾಗು,ಹಣ್ಣಾಗು
ಪುರುಳ್,ಹುರುಳ್
ಪೊಂಗಡಲು,ಹೊಂಗಡಲು
ಪಿಳಿಕು,ಹಿಳಿಕು
ಪಣತಿ,ಹಣತಿ
ಪಸುರ್ಗಟ್ಟು,ಹಸುರ್ಗಟ್ಟು
ಪಾಸುಮಂಚ,ಹಾಸುಮಂಚ
ಪುಸಿಮಾತು,ಹುಸಿಮಾತು
ಪರಿಗೆಕಾರ,ಹರಿಗೆಕಾರ
ಪಸುರು,ಹಸುರು
ಪುಗ್ಗು,ಹುಗ್ಗು
ಪೆಚ್ಚಳ,ಹೆಚ್ಚಳ
ಪರಲೆ,ಹರಲೆ
ಪಲ್ಲಿಲಿ,ಹಲ್ಲಿಲಿ
ಪನ್ನೆರಡು,ಹನ್ನೆರಡು
ಪೋಳ್ಮಾಡು,ಹೋಳ್ಮಾಡು
ಪಡು,ಹಡು
ಪಡೆ,ಹಡೆ
ಪುದುವಾಳ್,ಹುದುವಾಳ್
ಪುರುಡು,ಹುರುಡು
ಪೇಳ್,ಹೇಳ್
ಪಿಳ್ಗು,ಹಿಳ್ಗು
ಪಸೆನಿಲ್,ಹಸೆನಿಲ್
ಪದುಳಿದ,ಹದುಳಿದ
ಪರಿ,ಹರಿ
ಪೇರ್,ಹೇರ್
ಪಳಿವು,ಹಳಿವು
ಪೆಮ್ಮ,ಹೆಮ್ಮ
ಪಲ್ಲುಗಳು,ಹಲ್ಲುಗಳು
ಪಿಂತೆ,ಹಿಂತೆ
ಪುಟ್ಟುಗುರುಡ,ಹುಟ್ಟುಗುರುಡ
ಪಿಡಿಯಂಬು,ಹಿಡಿಯಂಬು
ಪೂವಕ್ಕಿ,ಹೂವಕ್ಕಿ
ಪಿಸುಗು,ಹಿಸುಗು
ಪರಳುಗಲ್ಲು,ಹರಳುಗಲ್ಲು
ಪಳೆಗನ್ನಡ,ಹಳೆಗನ್ನಡ
ಪಳಗಿಸು,ಹಳಗಿಸು
ಪೊಗರೇಳು,ಹೊಗರೇಳು
ಪೇನು,ಹೇನು
ಪೀಚು,ಹೀಚು
ಪಾವಾಡಿಗ,ಹಾವಾಡಿಗ
ಪರದಿಕೆ,ಹರದಿಕೆ
ಪೊಟ್ಟು,ಹೊಟ್ಟು
ಪೊಡೆಸು,ಹೊಡೆಸು
ಪೊಂ,ಹೊಂ
ಪೊಡವಡು,ಹೊಡವಡು
ಪಾಗಲ್,ಹಾಗಲ್
ಪೊಗರಾನ್,ಹೊಗರಾನ್
ಪೊದಕುಳಿ,ಹೊದಕುಳಿ
ಪಿಂತಿಕ್ಕು,ಹಿಂತಿಕ್ಕು
ಪೊನಲುವರಿ,ಹೊನಲುವರಿ
ಪಿತ್ತಿಲ್,ಹಿತ್ತಿಲ್
ಪಿಮ್ಮಡ,ಹಿಮ್ಮಡ
ಪೊಂದಿಗೆ,ಹೊಂದಿಗೆ
ಪಣ್ಣಿಸು,ಹಣ್ಣಿಸು
ಪೊದರ್ವನೆ,ಹೊದರ್ವನೆ
ಪೆರಗು,ಹೆರಗು
ಪೂಗನಸು,ಹೂಗನಸು
ಪೊರಕಯ್,ಹೊರಕಯ್
ಪೆರತೆಗೆ,ಹೆರತೆಗೆ
ಪೂದುಡಿಗೆ,ಹೂದುಡಿಗೆ
ಪಾದಿ,ಹಾದಿ
ಪಸೆ,ಹಸೆ
ಪಾಳು,ಹಾಳು
ಪೆಣೆ,ಹೆಣೆ
ಪುಗಿಲು,ಹುಗಿಲು
ಪುರುಡಿಸು,ಹುರುಡಿಸು
ಪೊನ್ದುಗೆ,ಹೊನ್ದುಗೆ
ಪಸುರುಡೆ,ಹಸುರುಡೆ
ಪೆರು,ಹೆರು
ಪೊಕ್ಕಳು,ಹೊಕ್ಕಳು
ಪಾಲ್ಗುಂಬಳ,ಹಾಲ್ಗುಂಬಳ
ಪೊಲಿ,ಹೊಲಿ
ಪುರುಳುಗೆಡಿಸು,ಹುರುಳುಗೆಡಿಸು
ಪೊಸವೆಣ್,ಹೊಸವೆಣ್
ಪತ್ತಿ,ಹತ್ತಿ
ಪೊದರೇಳ್,ಹೊದರೇಳ್
ಪೆಮ್ಮೆ,ಹೆಮ್ಮೆ
ಪಾಡು,ಹಾಡು
ಪೇರಾನೆ,ಹೇರಾನೆ
ಪೆಂಡತಿ,ಹೆಂಡತಿ
ಪೊರವಾರ್,ಹೊರವಾರ್
ಪರಿವು,ಹರಿವು
ಪಲಗೆ,ಹಲಗೆ
ಪೆಣ,ಹೆಣ
ಪಿಡಿಕೆಯ್ಸು,ಹಿಡಿಕೆಯ್ಸು
ಪಾಳೆ,ಹಾಳೆ
ಪರದು,ಹರದು
ಪುಲ್ಲೆ,ಹುಲ್ಲೆ
ಪೆಟ್ಟೆ,ಹೆಟ್ಟೆ
ಪಿಣಿಲು,ಹಿಣಿಲು
ಪೆಣ್ಣು,ಹೆಣ್ಣು
ಪಿಳ್ಕು,ಹಿಳ್ಕು
ಪೊಡಕರಿಸು,ಹೊಡಕರಿಸು
ಪಿಡಿಕೆ,ಹಿಡಿಕೆ
ಪಳಸು,ಹಳಸು
ಪೆಣ್ಗಿಳಿ,ಹೆಣ್ಗಿಳಿ
ಪಾಳ್ಮನೆಹಾಳ,ಹಾಳ್ಮನೆಹಾಳ
ಪೊರಮಿಂಚು,ಹೊರಮಿಂಚು
ಪರೆಕಾರ,ಹರೆಕಾರ
ಪದಿರು,ಹದಿರು
ಪಿಳಿಲು,ಹಿಳಿಲು
ಪೊಗಳ್ಕೆ,ಹೊಗಳ್ಕೆ
ಪೊನಲ್,ಹೊನಲ್
ಪೊಸನೋಟ,ಹೊಸನೋಟ
ಪೊಸತುಪ್ಪ,ಹೊಸತುಪ್ಪ
ಪರಳಿಗ,ಹರಳಿಗ
ಪೇಕುಳಿಗೊಳ್,ಹೇಕುಳಿಗೊಳ್
ಪೇಸಿ,ಹೇಸಿ
ಪರಗು,ಹರಗು
ಪಸುರ್ನೆಲ,ಹಸುರ್ನೆಲ
ಪುಣ್ಣಮಿ,ಹುಣ್ಣಮಿ
ಪೂಗಂಪು,ಹೂಗಂಪು
ಪಱುಕ,ಹಱುಕ
ಪೂವರ್ಷ,ಹೂವರ್ಷ
ಪೆದ್ದೊರೆ,ಹೆದ್ದೊರೆ
ಪಂದೆತನ,ಹಂದೆತನ
ಪಾಡಿಸು,ಹಾಡಿಸು
ಪೇನ್,ಹೇನ್
ಪೇಸಿಗೆ,ಹೇಸಿಗೆ
ಪೊರೆಯಾಳ್,ಹೊರೆಯಾಳ್
ಪಿಂದಕ್ಕು,ಹಿಂದಕ್ಕು
ಪೊಱಕೆಯ್,ಹೊಱಕೆಯ್
ಪೊಟ್ಟುಗ,ಹೊಟ್ಟುಗ
ಪೂಳ್ದು,ಹೂಳ್ದು
ಪಣಿತೆ,ಹಣಿತೆ
ಪೋಲ್,ಹೋಲ್
ಪಾಲ್ವಕ್ಕಿ,ಹಾಲ್ವಕ್ಕಿ
ಪೊಯಿಲು,ಹೊಯಿಲು
ಪೊಣೆಗಾರ,ಹೊಣೆಗಾರ
ಪಾರಾಟ,ಹಾರಾಟ
ಪೊದರೊಡೆ,ಹೊದರೊಡೆ
ಪೊಸಸಕ್ಕರೆ,ಹೊಸಸಕ್ಕರೆ
ಪಿರಿ,ಹಿರಿ
ಪೆರ್ಗಡಲ್,ಹೆರ್ಗಡಲ್
ಪರಕೆ,ಹರಕೆ
ಪರಿವಾಣ,ಹರಿವಾಣ
ಪೆಗ್ಗಣ,ಹೆಗ್ಗಣ
ಪೊದಳು,ಹೊದಳು
ಪೋಗು,ಹೋಗು
ಪೆರರ,ಹೆರರ
ಪಱುಣಿ,ಹಱುಣಿ
ಪಿಳುಕು,ಹಿಳುಕು
ಪೊರಗೆ,ಹೊರಗೆ
ಪೆಂಡಿತಿ,ಹೆಂಡಿತಿ
ಪೂಗಿಡು,ಹೂಗಿಡು
ಪೇರಾಸೆ,ಹೇರಾಸೆ
ಪೊದರುಗಟ್ಟು,ಹೊದರುಗಟ್ಟು
ಪಸುಗೆ,ಹಸುಗೆ
ಪೊಸಮುತ್ತು,ಹೊಸಮುತ್ತು
ಪಸುಳೆ,ಹಸುಳೆ
ಪಂದಿ,ಹಂದಿ
ಪಸುಬೆ,ಹಸುಬೆ
ಪೇಸು,ಹೇಸು
ಪೊಡಮಡು,ಹೊಡಮಡು
ಪಿಡಿಯಾಳು,ಹಿಡಿಯಾಳು
ಪಸು,ಹಸು
ಪಾಳುಮನೆ,ಹಾಳುಮನೆ
ಪಲಬು,ಹಲಬು
ಪೂಣಿಗತನ,ಹೂಣಿಗತನ
ಪೊಗರ್ತೆ,ಹೊಗರ್ತೆ
ಪುಣ್ಣಮೆ,ಹುಣ್ಣಮೆ
ಪೊಡೆಸೆಂಡು,ಹೊಡೆಸೆಂಡು
ಪುೞು,ಹುೞು
ಪುವ್ವು,ಹುವ್ವು
ಪೊಲೆಯ,ಹೊಲೆಯ
ಪತ್ತು,ಹತ್ತು
ಪೊಯಿಲ್,ಹೊಯಿಲ್
ಪೆಚ್ಚಿಸು,ಹೆಚ್ಚಿಸು
ಪೇಳಿಸು,ಹೇಳಿಸು
ಪುಳ್ಳಿ,ಹುಳ್ಳಿ
ಪಸುಮಗ,ಹಸುಮಗ
ಪಿಡಿಕಯ್ಸು,ಹಿಡಿಕಯ್ಸು
ಪಿಂ,ಹಿಂ
ಪಳೆವಾತು,ಹಳೆವಾತು
ಪಾಸರೆಗಲ್ಲು,ಹಾಸರೆಗಲ್ಲು
ಪಂದೆ,ಹಂದೆ
ಪೆಪ್ಪಳಿಸು,ಹೆಪ್ಪಳಿಸು
ಪೊನಲು,ಹೊನಲು
ಪುದುಂಗು,ಹುದುಂಗು
ಪಲ್ಲಿ,ಹಲ್ಲಿ
ಪೊತ್ತು,ಹೊತ್ತು
ಪೂದೇರ್,ಹೂದೇರ್
ಪಳ್ಳಿಕಾಱ,ಹಳ್ಳಿಕಾಱ
ಪೊಲಗೆಡಿಸು,ಹೊಲಗೆಡಿಸು
ಪುದುಗಿಸು,ಹುದುಗಿಸು
ಪುಲಿಮೊಗ,ಹುಲಿಮೊಗ
ಪೋರಿಸು,ಹೋರಿಸು
ಪಾಲೋಗರ,ಹಾಲೋಗರ
ಪುಣ್ಣಿಮೆ,ಹುಣ್ಣಿಮೆ
ಪಡವಳತಿ,ಹಡವಳತಿ
ಪಣ,ಹಣ
ಪೊಡೆವಡು,ಹೊಡೆವಡು
ಪಿಂಜರಿ,ಹಿಂಜರಿ
ಪೊರಜಿ,ಹೊರಜಿ
ಪುರ,ಹುರ
ಪೊಳ್ಳು,ಹೊಳ್ಳು
ಪಚ್ಚು,ಹಚ್ಚು
ಪೂರಿಗೆ,ಹೂರಿಗೆ
ಪಾಱುಗುಪ್ಪೆ,ಹಾಱುಗುಪ್ಪೆ
ಪುಳಿಯೊಗರೆ,ಹುಳಿಯೊಗರೆ
ಪೊಳ್ಳೆ,ಹೊಳ್ಳೆ
ಪೆಣಗು,ಹೆಣಗು
ಪುರುಳುಗೆಡು,ಹುರುಳುಗೆಡು
ಪಲವುಸೂಳ್,ಹಲವುಸೂಳ್
ಪೊಡಮಡಿಸು,ಹೊಡಮಡಿಸು
ಪೆಮ್ಮರ,ಹೆಮ್ಮರ
ಪೆಣ್ಣಿಲಿ,ಹೆಣ್ಣಿಲಿ
ಪೊಸನ್ತಿಲ್,ಹೊಸನ್ತಿಲ್
ಪೋರ್,ಹೋರ್
ಪದಡು,ಹದಡು
ಪೊರಳಿಸು,ಹೊರಳಿಸು
ಪೂವಾಡಿಗ,ಹೂವಾಡಿಗ
ಪಳ್ಳಿಗ,ಹಳ್ಳಿಗ
ಪಸುಂಬ,ಹಸುಂಬ
ಪೋರಿ,ಹೋರಿ
ಪೇಡಿ,ಹೇಡಿ
ಪಡುವಲು,ಹಡುವಲು
ಪೊನ್ದಿಗೆ,ಹೊನ್ದಿಗೆ
ಪೊಗಳು,ಹೊಗಳು
ಪಡಲಿಗೆ,ಹಡಲಿಗೆ
ಪುಳ್ಳೆ,ಹುಳ್ಳೆ
ಪಾಲ್ಕೊಡ,ಹಾಲ್ಕೊಡ
ಪಗೆವ,ಹಗೆವ
ಪೊಯ್ದು,ಹೊಯ್ದು
ಪೊಚ್ಚು,ಹೊಚ್ಚು
ಪಸ,ಹಸ
ಪೊಂಗಳಸ,ಹೊಂಗಳಸ
ಪಾಳುಬಾವಿ,ಹಾಳುಬಾವಿ
ಪೊಂಬುಗುರಿ,ಹೊಂಬುಗುರಿ
ಪೀರೆ,ಹೀರೆ
ಪಜ್ಜೆ,ಹಜ್ಜೆ
ಪಸುಂಬೆ,ಹಸುಂಬೆ
ಪೊನ್ನೋಲೆ,ಹೊನ್ನೋಲೆ
ಪಕ್ಕೆ,ಹಕ್ಕೆ
ಪೂದೋಟ,ಹೂದೋಟ
ಪೊಣೆ,ಹೊಣೆ
ಪೊಣೆಯಾಗು,ಹೊಣೆಯಾಗು
ಪುಣುಬು,ಹುಣುಬು
ಪೂಮಾಲೆಗಾರ್ತಿ,ಹೂಮಾಲೆಗಾರ್ತಿ
ಪಿಂದೆಸೆ,ಹಿಂದೆಸೆ
ಪುರಿಗೊಳಿಸು,ಹುರಿಗೊಳಿಸು
ಪೂ,ಹೂ
ಪಿರಿಯ,ಹಿರಿಯ
ಪಿನ್ನೋಟ,ಹಿನ್ನೋಟ
ಪುಲ್ಲೆಗಣ್,ಹುಲ್ಲೆಗಣ್
ಪುತ್ತರಿ,ಹುತ್ತರಿ
ಪಣ್ಣು,ಹಣ್ಣು
ಪೊರಮಡಿಸು,ಹೊರಮಡಿಸು
ಪೊರವೀಡು,ಹೊರವೀಡು
ಪರಿಗಾಲುವೆ,ಹರಿಗಾಲುವೆ
ಪೇರುಡು,ಹೇರುಡು
ಪೊಟ್ಟೆ,ಹೊಟ್ಟೆ
ಪೊಱಯಿಂಕೆ,ಹೊಱಯಿಂಕೆ
ಪೊಸತಿಲ್,ಹೊಸತಿಲ್
ಪೊರೆಯಿಡು,ಹೊರೆಯಿಡು
ಪುಣಿಸೆ,ಹುಣಿಸೆ
ಪೊಯಿ,ಹೊಯಿ
ಪೊಲ್ಲನುಡಿ,ಹೊಲ್ಲನುಡಿ
ಪೊದರು,ಹೊದರು
ಪಿಣಿಲ್,ಹಿಣಿಲ್
ಪೊಸಗೆರೆ,ಹೊಸಗೆರೆ
ಪೆಳವ,ಹೆಳವ
ಪೆಣ್ಟೆ,ಹೆಣ್ಟೆ
ಪಾಲ್ತುತ್ತ,ಹಾಲ್ತುತ್ತ
ಪೆಸರೆತ್ತು,ಹೆಸರೆತ್ತು
ಪುಲಿದೊಗಲು,ಹುಲಿದೊಗಲು
ಪಡಿಯಾಱ,ಹಡಿಯಾಱ
ಪೊನ್ನಂಬು,ಹೊನ್ನಂಬು
ಪಣಿ,ಹಣಿ
ಪುಸಿಕ,ಹುಸಿಕ
ಪದುಳಿಗ,ಹದುಳಿಗ
ಪೊಸಗೆ,ಹೊಸಗೆ
ಪೊಟ್ಟೆಬೇನೆ,ಹೊಟ್ಟೆಬೇನೆ
ಪುರಿ,ಹುರಿ
ಪುಣ್,ಹುಣ್
ಪೊರಯಿಂಕೆ,ಹೊರಯಿಂಕೆ
ಪೋರು,ಹೋರು
ಪೇರಾಳ,ಹೇರಾಳ
ಪೊಂಬೊಂಬೆ,ಹೊಂಬೊಂಬೆ
ಪೂವಿನಮಳೆ,ಹೂವಿನಮಳೆ
ಪೊಂಗುರು,ಹೊಂಗುರು
ಪಳೆಯುಳಿಕೆ,ಹಳೆಯುಳಿಕೆ
ಪುಡಿಮಾಡು,ಹುಡಿಮಾಡು
ಪೇರೂರ್,ಹೇರೂರ್
ಪೋಟಿ,ಹೋಟಿ
ಪೊಸತು,ಹೊಸತು
ಪೊಗರ್,ಹೊಗರ್
ಪಲ್ಲುಗಿರಿ,ಹಲ್ಲುಗಿರಿ
ಪೇರುರ,ಹೇರುರ
ಪುಲುವಟ್ಟೆ,ಹುಲುವಟ್ಟೆ
ಪಡುಕೆ,ಹಡುಕೆ
ಪೀಚುಕಾಯಿ,ಹೀಚುಕಾಯಿ
ಪೊಱೆಕಾಱ,ಹೊಱೆಕಾಱ
ಪಾರ್ವ,ಹಾರ್ವ
ಪಿಡಿವಡೆ,ಹಿಡಿವಡೆ
ಪಗವ,ಹಗವ
ಪೂದೊಡಿಗೆ,ಹೂದೊಡಿಗೆ
ಪಸರ,ಹಸರ
ಪೊಸತಿಲು,ಹೊಸತಿಲು
ಪಗೆಯ,ಹಗೆಯ
ಪಿಂಗಿಸು,ಹಿಂಗಿಸು
ಪುಣ್ಣುಮೆ,ಹುಣ್ಣುಮೆ
ಪಾಳಿಡು,ಹಾಳಿಡು
ಪಾಡುಗಾರಿಕೆ,ಹಾಡುಗಾರಿಕೆ
ಪೂವಡಿಗ,ಹೂವಡಿಗ
ಪೊಡೆತ,ಹೊಡೆತ
ಪಿಡಿತರ್,ಹಿಡಿತರ್
ಪಿಸುಣ,ಹಿಸುಣ
ಪೊಂಬುರ್ಚ,ಹೊಂಬುರ್ಚ
ಪುರಿಯೋಡು,ಹುರಿಯೋಡು
ಪೊಸಬಗೆ,ಹೊಸಬಗೆ
ಪೊಸಬೇಟ,ಹೊಸಬೇಟ
ಪೊಗು,ಹೊಗು
ಪನ್ನೊಂದು,ಹನ್ನೊಂದು
ಪಾರಿಸು,ಹಾರಿಸು
ಪೊಯಿಸು,ಹೊಯಿಸು
ಪಣೆ,ಹಣೆ
ಪಾಡಿ,ಹಾಡಿ
ಪೆಂಪು,ಹೆಂಪು
ಪಡಿಹಾಱ,ಹಡಿಹಾಱ
ಪರಿಗೋಲು,ಹರಿಗೋಲು
ಪೊಂಬುೞ್ಚ,ಹೊಂಬುೞ್ಚ
ಪೊಸೆ,ಹೊಸೆ
ಪುಡುಕುನೀರ್,ಹುಡುಕುನೀರ್
ಪೊಲಸು,ಹೊಲಸು
ಪೊಂದಟ್ಟೆ,ಹೊಂದಟ್ಟೆ
ಪಲಂಬರ್,ಹಲಂಬರ್
ಪಚ್ಚಡ,ಹಚ್ಚಡ
ಪುಳಿ,ಹುಳಿ
ಪಾಲ್ಗೊಡ,ಹಾಲ್ಗೊಡ
ಪಡಿ,ಹಡಿ
ಪಾಸರೆ,ಹಾಸರೆ
ಪಿಳಿ,ಹಿಳಿ
ಪರೆಗುಟ್ಟು,ಹರೆಗುಟ್ಟು
ಪಾದರ,ಹಾದರ
ಪಿನ್ನೆಲೆ,ಹಿನ್ನೆಲೆ
ಪೊಸಕೆರೆ,ಹೊಸಕೆರೆ
ಪೆರಸಾರ್,ಹೆರಸಾರ್
ಪಲಸು,ಹಲಸು
ಪಿಪ್ಪಲಿ,ಹಿಪ್ಪಲಿ
ಪಲಬರು,ಹಲಬರು
ಪೊಡೆಗೆಡೆ,ಹೊಡೆಗೆಡೆ
ಪಿಡಿಸು,ಹಿಡಿಸು
ಪುಯಿ,ಹುಯಿ
ಪಸಗೊಳಿಸು,ಹಸಗೊಳಿಸು
ಪೊಡೆಚೆಂಡು,ಹೊಡೆಚೆಂಡು
ಪುಗು,ಹುಗು
ಪೊಂಗಿಸು,ಹೊಂಗಿಸು
ಪೂರಣ,ಹೂರಣ
